drug_a,drug_b,severity,mechanism,note,source
warfarin,aspirin,major,Additif antiagrégant + anticoagulant,Risque hémorragique majeur. À éviter.,manual_seed
warfarin,ibuprofen,major,AINS inhibe l'agrégation plaquettaire et irrite la muqueuse gastrique,Risque hémorragique digestif.,manual_seed
warfarin,amiodarone,major,Inhibition CYP2C9 potentialisant les AVK,Réduire la warfarine 30-50% et surveiller INR.,manual_seed
warfarin,clarithromycin,moderate,Inhibition CYP3A4,Surveillance INR renforcée.,manual_seed
warfarin,miconazole,major,Inhibition CYP2C9 majeure,Contre-indiqué. INR pouvant devenir incoagulable.,manual_seed
warfarin,fluconazole,major,Inhibition CYP2C9,Réduire la warfarine et surveiller INR.,manual_seed
warfarin,paracetamol,moderate,Potentialisation AVK à forte dose (>2g/j prolongée),Surveillance INR si paracétamol régulier > 2g/j.,manual_seed
warfarin,ciprofloxacin,moderate,Inhibition CYP1A2/3A4,Surveillance INR renforcée.,manual_seed
warfarin,tramadol,moderate,Mécanisme pharmacocinétique incomplètement élucidé,Surveillance INR renforcée.,manual_seed
warfarin,millepertuis,major,Inducteur enzymatique CYP3A4/2C9,Diminution efficacité AVK. À éviter.,manual_seed
aspirin,ibuprofen,moderate,Antagonisme effet antiagrégant + toxicité digestive additive,Espacer les prises. Éviter la co-prescription chronique.,manual_seed
aspirin,methotrexate,major,Réduction de la clairance rénale du MTX,Toxicité hématologique sévère à forte dose de MTX.,manual_seed
aspirin,clopidogrel,moderate,Double antiagrégation,Indication cardio précise obligatoire. Risque hémorragique.,manual_seed
aspirin,rivaroxaban,major,Additif anticoagulation + antiagrégation,Risque hémorragique majeur.,manual_seed
aspirin,apixaban,major,Additif anticoagulation + antiagrégation,Risque hémorragique majeur.,manual_seed
aspirin,dabigatran,major,Additif anticoagulation + antiagrégation,Risque hémorragique majeur.,manual_seed
clopidogrel,omeprazole,moderate,Inhibition CYP2C19 réduit l'activation du clopidogrel,Préférer pantoprazole ou rabéprazole.,manual_seed
clopidogrel,esomeprazole,moderate,Inhibition CYP2C19,Préférer pantoprazole ou rabéprazole.,manual_seed
clopidogrel,fluoxetine,moderate,Inhibition CYP2C19,Surveillance clinique. Alternative ISRS possible.,manual_seed
ibuprofen,lithium,moderate,Réduction de la clairance rénale du lithium,Dosage plasmatique du lithium recommandé.,manual_seed
ibuprofen,methotrexate,major,Réduction clairance rénale + toxicité additive,À éviter à dose immunosuppressive.,manual_seed
metformin,contrast_iodine,major,Risque d'acidose lactique par insuffisance rénale aiguë,Suspendre 48h avant et après injection.,manual_seed
metformin,alcohol,moderate,Risque d'acidose lactique,Éviter consommation excessive.,manual_seed
amoxicilline,methotrexate,moderate,Compétition pour l'excrétion rénale,Surveiller hémogramme.,manual_seed
amoxicilline,allopurinol,minor,Mécanisme immuno-allergique,Rash cutané plus fréquent.,manual_seed
amoxicilline,warfarin,moderate,Déplacement liaison protéique + effet sur flore intestinale,Surveillance INR renforcée.,manual_seed
simvastatin,clarithromycin,major,Inhibition CYP3A4 majeure,Suspendre la statine pendant le traitement. Risque rhabdomyolyse.,manual_seed
simvastatin,erythromycin,major,Inhibition CYP3A4,Idem: suspendre ou remplacer.,manual_seed
simvastatin,amiodarone,moderate,Inhibition CYP3A4,Limiter simvastatine à 20 mg/j.,manual_seed
simvastatin,amlodipine,moderate,Inhibition CYP3A4,Limiter simvastatine à 20 mg/j.,manual_seed
simvastatin,fusidic_acid,major,Inhibition CYP3A4 majeure,Contre-indiqué. Risque de rhabdomyolyse mortelle.,manual_seed
atorvastatin,clarithromycin,moderate,Inhibition CYP3A4,Réduire la dose d'atorvastatine.,manual_seed
